id,title,governor,description,created,active,govObject_id,lang_id
1,Siyal Islands,Ahmed Abdullah Mohammed Abdullah,"The Siyal Islands are a group of islands off the coast of northeastern Africa, located in the Red Sea. The islands are located in the Halaib Triangle, which is claimed by both Sudan and Egypt, as part of an ongoing border dispute. Since the 1990s, the islands have been occupied by Egypt, and so the islands are de facto administered by Egypt. They remain, however, to be claimed by Sudan.
The islands are part of the Elba Protected Area of Egypt, and are home to the white-eyed gull, with an estimated seventy individuals at the maximum, as well as several ospreys. The islands are surrounded by rocks and coral, and have a sandy surface with scant marine vegetation. The local fishermen, descendants of the Huteimi peoples identified by J. R. Wellsted, harvest turtle and bird eggs from the surrounding area",2023-02-22 17:00:04+02,TRUE,2,1
2,جزر سيال,أحمد عبدلله محمد عبدلله,"جزر سيال هي مجموعة من الجزر الواقعة قبالة سواحل شمال شرق إفريقيا ، وتقع في البحر الأحمر. تقع الجزر في مثلث حلايب ، الذي تطالب به كل من السودان ومصر ، كجزء من نزاع حدودي مستمر. منذ تسعينيات القرن الماضي ، احتلت مصر الجزر ، وبالتالي فإن الجزر تُدار فعليًا من قبل مصر. ومع ذلك ، لا يزال يتعين على السودان المطالبة بها.
الجزر هي جزء من محمية إلبا في مصر ، وهي موطن لنورس أبيض العينين ، مع ما يقدر بسبعين فردًا كحد أقصى ، بالإضافة إلى العديد من ospreys. الجزر محاطة بالصخور والشعاب المرجانية ، ولها سطح رملي مع القليل من النباتات البحرية. الصيادون المحليون ، المنحدرون من شعوب الحوتيمي التي حددها جي آر ويلستيد ، يحصدون بيض السلاحف والطيور من المنطقة المحيطة",2023-02-22 17:05:49+02,TRUE,2,2
3,Gharbia,Tarek Rahmi,"Gharbia Governorate is one of the governorates of Egypt. It is located in the north of the country, south of Kafr El Sheikh Governorate, and north of Monufia Governorate. Its capital is Tanta, which is 90 km north of Cairo, and 120 km south east of Alexandria. The largest city in Gharbia is El Mahalla El Kubra.",2023-02-22 19:23:01+02,TRUE,3,1
4,الغربية,طارق رحمي,محافظة الغربية هي إحدى محافظات مصر. تقع في شمال البلاد وجنوب محافظة كفر الشيخ وشمال محافظة المنوفية. عاصمتها طنطا ، 90 كم شمال القاهرة ، و 120 كم جنوب شرق الإسكندرية. أكبر مدينة في الغربية هي المحلة الكبرى.,2023-02-22 19:33:39+02,TRUE,3,2
5,الإسماعلية,حمدي حامد محمد عثمان,"محافظة الإسماعيلية هي إحدى محافظات منطقة القناة في مصر. تقع في الجزء الشمالي الشرقي من البلاد ، وعاصمتها مدينة الإسماعيلية. سميت على اسم إسماعيل باشا ، الذي كان نائب الملك العثماني لمصر ، أشرف على البلاد أثناء بناء قناة السويس.",2023-02-22 19:37:09+02,TRUE,4,2
6,Ismailia,Hamdi Hamed Mohamed Osman,"Ismailia Governorate is one of the Canal Zone governorates of Egypt. Located in the northeastern part of the country, its capital is the city of Ismailia. It was named after Ismail Pasha, who as Ottoman Viceroy of Egypt, oversaw the country during the building of the Suez Canal.",2023-02-22 19:39:07+02,TRUE,4,1
7,Menofia,Ibrahim abo lamon,"Monufia Governorate is one of the governorates of Egypt. It is located in the northern part of the country in the Nile Delta, to the south of Gharbia Governorate and to the north of Cairo. The governorate is named after Menouf, an ancient city which was the capital of the governorate until 1826.",2023-02-22 19:52:14+02,TRUE,5,1
8,المنوفية,إبراهيم أبو لمون,"محافظة المنوفية هي إحدى محافظات مصر. تقع في الجزء الشمالي من البلاد في دلتا النيل وجنوب محافظة الغربية وشمال القاهرة. سميت المحافظة على اسم مدينة منوف القديمة التي كانت عاصمة المحافظة حتى عام 1826.",2023-02-22 19:55:51+02,TRUE,5,2
9,Cairo,Khaled Abdel-Aal Abdel-Hafez,"Cairo Governorate  is one of the 27 governorates of Egypt. It is formed of the city of Cairo, both the national capital of Egypt and the governorate's, in addition to five satellite cities: the New Administrative Capital - set to become the seat of national government, New Cairo, Shourok, Badr, Capital Gardens, and 15th of May. These cities form almost half of the Greater Cairo metropolitan area by population.
Parts of the governorate - the Helwan district and the satellite cities, were spun off in April 2008 to form the Helwan Governorate, only to be reincorporated into the Cairo Governorate in April 2011.",2023-02-22 19:58:05+02,TRUE,6,1
10,القاهرة,خالد عبدالعال عبدالحافظ,"محافظة القاهرة هي إحدى محافظات مصر الـ 27. وتتكون من مدينة القاهرة ، كل من العاصمة القومية لمصر والمحافظة ، بالإضافة إلى خمس مدن تابعة: العاصمة الإدارية الجديدة - المقرر أن تصبح مقر الحكومة القومية ، القاهرة الجديدة ، الشروق ، بدر ، كابيتال جاردنز ، و 15 مايو. تشكل هذه المدن ما يقرب من نصف منطقة القاهرة الكبرى من حيث عدد السكان.
تم إنشاء أجزاء من المحافظة - منطقة حلوان والمدن التابعة ، في أبريل 2008 لتشكيل محافظة حلوان ، ليتم دمجها في محافظة القاهرة في أبريل 2011.",2023-02-22 20:01:48+02,TRUE,6,2
